iter	Passed	Remaining
399	50264	75396
400	50382	75260
401	50496	75117
402	50614	74980
403	50726	74834
404	50842	74693
405	50955	74550
406	51073	74413
407	51187	74272
408	51306	74137
409	51427	74004
410	51545	73869
411	51657	73724
412	51775	73588
413	51904	73468
414	52017	73326
415	52135	73189
416	52260	73064
417	52376	72925
418	52493	72788
419	52610	72652
420	52732	72522
421	52842	72376
422	52969	72254
423	53078	72106
424	53199	71975
425	53317	71841
426	53442	71714
427	53560	71581
428	53677	71444
429	53788	71301
430	53920	71185
431	54032	71042
432	54148	70905
433	54258	70761
434	54376	70626
435	54493	70491
436	54604	70348
437	54721	70213
438	54838	70077
439	54952	69939
440	55073	69810
441	55194	69680
442	55307	69540
443	55419	69398
444	55538	69266
445	55650	69126
446	55769	68994
447	55890	68864
448	56009	68733
449	56125	68597
450	56239	68460
451	56358	68328
452	56485	68206
453	56602	68072
454	56719	67939
455	56831	67798
456	56949	67666
457	57065	67531
458	57187	67404
459	57303	67269
460	57420	67135
461	57541	67007
462	57665	66882
463	57789	66756
464	57921	66641
465	58059	66531
466	58185	66408
467	58298	66270
468	58417	66140
469	58540	66013
470	58665	65889
471	58783	65757
472	58914	65640
473	59036	65513
474	59162	65389
475	59285	65263
476	59410	65139
477	59533	65013
478	59647	64878
479	59770	64751
480	59886	64618
481	60003	64485
482	60130	64363
483	60244	64228
484	60359	64092
485	60479	63963
486	60602	63838
487	60716	63702
488	60837	63574
489	60955	63443
490	61071	63310
491	61183	63173
492	61297	63038
493	61413	62905
494	61530	62773
495	61646	62640
496	61763	62508
497	61876	62373
498	61995	62244
499	62110	62110
500	62235	61987
501	62356	61859
502	62482	61736
503	62603	61609
504	62733	61490
505	62850	61359
506	62967	61228
507	63082	61095
508	63197	60963
509	63308	60825
510	63430	60700
511	63548	60569
512	63669	60442
513	63785	60310
514	63901	60179
515	64014	60044
516	64144	59926
517	64266	59800
518	64386	59672
519	64509	59547
520	64629	59419
521	64742	59285
522	64855	59150
523	64966	59015
524	65085	58887
525	65197	58752
526	65312	58620
527	65427	58488
528	65543	58357
529	65657	58224
530	65779	58099
531	65895	57968
532	66010	57836
533	66127	57706
534	66245	57578
535	66369	57454
536	66486	57324
537	66601	57192
538	66722	57066
539	66842	56940
540	66971	56820
541	67092	56694
542	67218	56572
543	67326	56435
544	67441	56304
545	67552	56170
546	67671	56042
547	67782	55908
548	67899	55778
549	68008	55642
550	68129	55517
551	68244	55386
552	68364	55259
553	68481	55131
554	68598	55002
555	68714	54872
556	68831	54744
557	68944	54611
558	69062	54483
559	69173	54350
560	69292	54223
561	69403	54090
562	69523	53963
563	69638	53834
564	69751	53702
565	69865	53572
566	69976	53438
567	70093	53310
568	70210	53182
569	70322	53050
570	70455	52934
571	70569	52804
572	70699	52684
573	70811	52553
574	70934	52429
575	71047	52298
576	71166	52172
577	71284	52044
578	71403	51918
579	71529	51796
580	71647	51669
581	71770	51546
582	71905	51431
583	72017	51300
584	72134	51172
585	72244	51039
586	72361	50911
587	72483	50787
588	72603	50662
589	72721	50535
590	72838	50407
591	72955	50280
592	73073	50153
593	73188	50024
594	73313	49902
595	73426	49772
596	73542	49644
597	73656	49514
598	73765	49382
599	73882	49254
600	74002	49130
601	74119	49002
602	74237	48875
603	74352	48747
604	74472	48622
605	74596	48499
606	74715	48374
607	74826	48243
608	74939	48113
609	75062	47990
610	75182	47865
611	75291	47733
612	75408	47606
613	75518	47475
614	75642	47353
615	75756	47224
616	75877	47100
617	75999	46976
618	76120	46852
619	76243	46729
620	76356	46601
621	76463	46468
622	76575	46338
623	76698	46216
624	76817	46090
625	76925	45958
626	77040	45830
627	77161	45707
628	77284	45584
629	77397	45455
630	77514	45329
631	77630	45202
632	77748	45077
633	77865	44950
634	77984	44825
635	78099	44698
636	78221	44575
637	78332	44445
638	78453	44322
639	78570	44195
640	78686	44069
641	78806	43945
642	78926	43820
643	79035	43690
644	79155	43565
645	79269	43438
646	79394	43317
647	79506	43188
648	79627	43065
649	79741	42937
650	79863	42814
651	79973	42685
652	80091	42560
653	80207	42434
654	80333	42313
655	80456	42190
656	80584	42070
657	80709	41949
658	80835	41828
659	80952	41702
660	81065	41575
661	81181	41448
662	81305	41327
663	81412	41196
664	81530	41072
665	81643	40944
666	81762	40820
667	81882	40695
668	82004	40573
669	82123	40448
670	82246	40326
671	82352	40195
672	82468	40069
673	82586	39945
674	82707	39822
675	82816	39692
676	82957	39579
677	83082	39458
678	83201	39333
679	83316	39207
680	83430	39081
681	83538	38952
682	83658	38828
683	83776	38703
684	83899	38581
685	84017	38456
686	84128	38329
687	84237	38200
688	84355	38076
689	84472	37951
690	84592	37827
691	84700	37698
692	84822	37576
693	84948	37455
694	85068	37332
695	85189	37209
696	85307	37085
697	85421	36958
698	85537	36833
699	85652	36708
700	85773	36585
701	85887	36459
702	86003	36334
703	86111	36205
704	86232	36082
705	86347	35957
706	86463	35832
707	86571	35704
708	86682	35577
709	86800	35453
710	86918	35329
711	87038	35206
712	87159	35084
713	87272	34957
714	87390	34833
715	87505	34709
716	87629	34587
717	87745	34462
718	87856	34336
719	87973	34211
720	88095	34089
721	88211	33965
722	88320	33837
723	88437	33713
724	88548	33587
725	88658	33460
