iter	Logloss
0	0.6226124217
1	0.5707081741
2	0.5287771106
3	0.4985147991
4	0.4707481459
5	0.4491360568
6	0.4315438446
7	0.4173488279
8	0.4057635408
9	0.3965676499
10	0.3883801421
11	0.3816552358
12	0.3757961597
13	0.3711226455
14	0.3668281105
15	0.363542227
16	0.3599877594
17	0.3569234414
18	0.3539441194
19	0.3513452511
20	0.3492121173
21	0.3467724825
22	0.3451651386
23	0.3439061188
24	0.3422416564
25	0.3406228572
26	0.3391047794
27	0.3376410305
28	0.3364814857
29	0.3353766819
30	0.3342760938
31	0.3332441359
32	0.332326126
33	0.3312873103
34	0.3301940465
35	0.3293366638
36	0.3284708093
37	0.3278373171
38	0.3267805864
39	0.3259790212
40	0.3252338857
41	0.3245444223
42	0.3234114078
43	0.3227363447
44	0.3219720963
45	0.3211995883
46	0.3203828654
47	0.319544543
48	0.3190928089
49	0.3181920939
50	0.3174222785
51	0.316825188
52	0.3159972017
53	0.3150894674
54	0.314617259
55	0.3139741113
56	0.3134471438
57	0.3128753876
58	0.3122217059
59	0.3116693474
60	0.3110499282
61	0.3104221969
62	0.3100214669
63	0.3093460988
64	0.3086318222
65	0.3081378992
66	0.3077535955
67	0.3073456683
68	0.3070572138
69	0.3065151773
70	0.3060040766
71	0.3054337849
72	0.3051259326
73	0.3048148242
74	0.3044023218
75	0.3038471496
76	0.3032890968
77	0.3024190287
78	0.3020017289
79	0.3014989868
80	0.3010199731
81	0.3006046953
82	0.3001601886
83	0.2998055621
84	0.2994371353
85	0.2988138621
86	0.2981408169
87	0.2977444884
88	0.2974514303
89	0.2971814564
90	0.2965575388
91	0.2959644781
92	0.2953846987
93	0.2949378711
94	0.294539367
95	0.2939873742
96	0.2935854402
97	0.2932877201
98	0.2929062908
99	0.2926373874
100	0.2921434341
101	0.2917391792
102	0.2913146581
103	0.2910203517
104	0.2903463087
105	0.2898614069
106	0.2893518413
107	0.2888355856
108	0.2885298988
109	0.2882034427
110	0.2876751884
111	0.2872803567
112	0.2869459823
113	0.2865170435
114	0.2860627097
115	0.2856344476
116	0.2854148192
117	0.2848681005
118	0.2842583206
119	0.2839194781
120	0.2835092017
121	0.2830908636
122	0.2826932403
123	0.2821576879
124	0.2818407297
125	0.2812741284
126	0.280806071
127	0.2804375008
128	0.2801288022
129	0.2796898706
130	0.2792980284
131	0.2787877437
132	0.2782749846
133	0.2779602786
134	0.2776241974
135	0.2771005507
136	0.2767780881
137	0.2763760733
138	0.2758959507
139	0.2755075788
140	0.2750409575
141	0.2745672362
142	0.2743107112
143	0.2739769711
144	0.2736577425
145	0.2731212245
146	0.2726851653
147	0.2723671406
148	0.2717788995
149	0.2712906728
150	0.2708876703
151	0.2703351462
152	0.2700434011
153	0.2697008298
154	0.2692575533
155	0.2689678827
156	0.2686636887
157	0.2684329
158	0.2679674382
159	0.2675228447
160	0.2671880765
161	0.2668202132
162	0.2664894082
163	0.2660090815
164	0.2655392244
165	0.2651488547
166	0.2648560431
167	0.2644454314
168	0.2641221547
169	0.2635036223
170	0.2630669874
171	0.2627074747
172	0.2622767058
173	0.2618580506
174	0.2613042155
175	0.2609988155
176	0.2605246457
177	0.2601677913
178	0.259668679
179	0.2591698596
180	0.2588573695
181	0.2584055627
182	0.2580601796
183	0.2577629322
184	0.2573660017
185	0.2570205761
186	0.2567013313
187	0.2563253175
188	0.2559630212
189	0.2556307436
190	0.2552250081
191	0.2548875857
192	0.2546811173
193	0.2543653044
194	0.2539762578
195	0.2536735888
196	0.2532715518
197	0.2530196889
198	0.2526370759
199	0.252285647
200	0.2519925567
201	0.2515661489
202	0.251160278
203	0.2506435395
204	0.2503314797
205	0.2500244294
206	0.2497373606
207	0.2494922786
208	0.2490703006
209	0.2487048633
210	0.2485187905
211	0.2480372842
212	0.247700187
213	0.2474485018
214	0.2471556195
215	0.2469380091
216	0.2466862411
217	0.2464572582
218	0.2460360175
219	0.245635653
220	0.2454255467
221	0.245183616
222	0.2447688754
223	0.2443581082
224	0.244042574
225	0.2436484735
226	0.243381877
227	0.2430804664
228	0.2428640154
229	0.242634974
230	0.2422724555
231	0.2420594991
232	0.2416627261
233	0.2413896859
234	0.2408550526
235	0.2406231651
236	0.2404038861
237	0.240045957
238	0.2398307301
239	0.239578748
240	0.2391282885
241	0.2386739204
242	0.2383921035
243	0.2379973303
244	0.2376946673
245	0.2373284604
246	0.2370829624
247	0.2369091326
248	0.2364609112
249	0.2362418484
250	0.2359396379
251	0.2357385447
252	0.2355084812
253	0.2352376387
254	0.2350200202
255	0.2346379727
256	0.2342910443
257	0.2339705229
258	0.2337990423
259	0.2334357502
260	0.2331728522
261	0.2328322484
262	0.2324714873
263	0.2320816812
264	0.2319109924
265	0.2314582483
266	0.2312673579
267	0.230928972
268	0.2305098825
269	0.2301467419
270	0.2298509811
271	0.2293729148
272	0.2290493998
273	0.2288042553
274	0.2285391899
275	0.2283145883
276	0.2280058251
277	0.2275314008
278	0.227222076
279	0.226821045
280	0.2264220723
281	0.2262098935
282	0.225872871
283	0.2255049168
284	0.2252209042
285	0.2248912788
286	0.2245601364
287	0.2243228818
288	0.2240809309
289	0.2238413735
290	0.2236076438
291	0.223237908
292	0.2230293652
293	0.2227936801
294	0.2226065812
295	0.2224191025
296	0.2220526067
297	0.2218578117
298	0.2214895344
299	0.2210744323
300	0.2207779706
301	0.2205859491
302	0.2202726833
303	0.2198952778
304	0.2195853773
305	0.2193228308
306	0.2190740038
307	0.2187468489
308	0.2184156095
309	0.2180153562
310	0.217790894
311	0.2174021524
312	0.2170714665
313	0.2168813538
314	0.2165047441
315	0.2162773914
316	0.2157207122
317	0.2154045802
318	0.2152006388
319	0.2148702822
320	0.214701577
321	0.2143638496
322	0.2141208078
323	0.2138422107
324	0.2135670434
325	0.2131319821
326	0.2129457376
327	0.2126647751
328	0.212342872
329	0.212196952
330	0.2115861238
331	0.2113995945
332	0.2111522179
333	0.2107998639
334	0.2105611751
335	0.2102331253
336	0.2099680255
337	0.2097564366
338	0.209442885
339	0.2091612044
340	0.2088876067
341	0.2084890431
342	0.2082440379
343	0.2079092515
344	0.2076634767
345	0.2074121188
346	0.2071447941
347	0.20690213
348	0.2066263437
349	0.2064453501
350	0.2062918077
351	0.2060949059
352	0.205818958
353	0.2056090537
354	0.2053007389
355	0.2049855936
356	0.2047164539
357	0.2043590692
358	0.2041126198
359	0.2038249338
360	0.2034409896
361	0.2032744054
362	0.2029686722
363	0.202746338
364	0.2023527536
365	0.2020438873
366	0.2018656469
367	0.2017006514
368	0.2014692598
369	0.2012831112
370	0.2010423793
371	0.2007896993
372	0.2003943221
373	0.2002190925
374	0.2001031851
375	0.1998586283
376	0.1997721306
377	0.1993488991
378	0.1989918396
379	0.1987907151
380	0.1984640166
381	0.1982963386
382	0.1979298823
383	0.1978292993
384	0.1976186971
385	0.1974241081
386	0.1969824981
387	0.1968190337
388	0.1964911677
389	0.1962539828
390	0.1961371816
391	0.1959867015
392	0.1957477734
393	0.1953651897
394	0.1950827193
395	0.1948299049
396	0.1946660739
397	0.1944720142
398	0.194147766
399	0.1939163067
400	0.1936406314
401	0.1933215805
402	0.1930825059
403	0.1928972553
404	0.192668123
405	0.1924321299
406	0.1921636477
407	0.1918139913
408	0.1915496996
409	0.1911603571
410	0.1909033563
411	0.1906744705
412	0.1905741622
413	0.1902271237
414	0.1900694243
415	0.1897481777
416	0.1894568023
417	0.1892032709
418	0.1889632652
419	0.1886424165
420	0.1882935681
421	0.1881521405
422	0.1878195811
423	0.1876689506
424	0.1873582401
425	0.1870971035
426	0.1869314081
427	0.1867640523
428	0.1866313307
429	0.1864187217
430	0.18597603
431	0.1858691407
432	0.1856314962
433	0.1854749442
434	0.1852394217
435	0.1850224112
436	0.1849184579
437	0.1846955653
438	0.1844143008
439	0.1841053992
440	0.1837845051
441	0.1833736853
442	0.1831913353
443	0.1830485281
444	0.1828089081
445	0.1826029205
446	0.1822410485
447	0.1819867404
448	0.1818057094
449	0.1815799625
450	0.1814232903
451	0.1811447608
452	0.1809377754
453	0.1806761681
454	0.1805146914
455	0.180373079
456	0.1802300778
457	0.1800834882
458	0.1798968064
459	0.1797251753
460	0.1796417812
461	0.179438772
462	0.179263201
463	0.1790559166
464	0.1788610398
465	0.1785806348
466	0.1784415393
467	0.1783412209
468	0.1781670356
469	0.1779300153
470	0.1776973148
471	0.1775477487
472	0.1772291432
473	0.1770151192
474	0.1768227916
475	0.1765229405
476	0.1763919631
477	0.1761240324
478	0.1759993594
479	0.1758293695
480	0.1756446178
481	0.1754526558
482	0.1752706169
483	0.1751180805
484	0.1749059744
485	0.1746652597
486	0.1743214753
487	0.1741655444
488	0.1739354496
489	0.173635251
490	0.1735057503
491	0.1733457471
492	0.1731351025
493	0.1729254113
494	0.1727758059
495	0.1725300079
496	0.1723502636
497	0.1722154665
498	0.1719763283
499	0.1718027712
500	0.1716176226
501	0.1714328516
502	0.1712097833
503	0.1709257433
504	0.1706002336
505	0.1703443611
506	0.1701154449
507	0.1699598432
508	0.1698217081
509	0.1696098435
510	0.1693474909
511	0.169044834
512	0.1688170611
513	0.1685512635
514	0.1683641827
515	0.1681936636
516	0.1679632739
517	0.1677097717
518	0.1674132899
519	0.1671031803
520	0.1669104912
521	0.1667617341
522	0.1666426968
523	0.1664864104
524	0.1661714468
525	0.1659941326
526	0.1658388036
527	0.1656662201
528	0.1655111416
529	0.1653027291
530	0.165004602
531	0.1647085372
532	0.1645286425
533	0.1642339301
534	0.1640343609
535	0.1638751516
536	0.1637235909
537	0.1635077044
538	0.1632588987
539	0.1629750507
540	0.1627575271
541	0.1626070309
542	0.1624369421
543	0.1623483516
544	0.1621944901
545	0.1620536523
546	0.1616954405
547	0.1616102294
548	0.1614355441
549	0.1613152625
550	0.1610687242
551	0.1607706768
552	0.1606855991
553	0.1605639812
554	0.1604027207
555	0.1602140472
556	0.1600568669
557	0.1598422379
558	0.1596878098
559	0.1595322698
560	0.1592748105
561	0.1591481781
562	0.1589320968
563	0.1587205846
564	0.1585958217
565	0.158435055
566	0.1583405218
567	0.1581274603
568	0.1579863508
569	0.1578543544
570	0.1575352379
571	0.1573130593
572	0.1571716276
573	0.1570193791
574	0.1567973348
575	0.1565539648
576	0.1563139368
577	0.156036782
578	0.1558991004
579	0.1557052315
580	0.1555587056
581	0.1553756173
582	0.1551347469
583	0.1549592264
584	0.1547546175
585	0.1546902342
586	0.1545666944
587	0.1543906709
588	0.1542791771
589	0.1540750156
590	0.1538982174
591	0.1536994128
592	0.1535586245
593	0.1533632953
594	0.1531244368
595	0.1529959733
596	0.1528820586
597	0.1527433519
598	0.1526707767
599	0.1524701572
600	0.152288193
601	0.1521022081
602	0.15198553
603	0.1517333217
604	0.1515100331
605	0.1512749136
606	0.1511126703
607	0.1510086211
608	0.1508125313
609	0.1506346626
610	0.150416026
611	0.1503214868
612	0.1501126248
613	0.1500006613
614	0.1497157569
615	0.1495963317
616	0.1494734413
617	0.1493337327
618	0.1491904497
619	0.1489509641
620	0.1488245933
621	0.1487977581
622	0.148733183
623	0.148592631
624	0.1484699426
625	0.1483464129
626	0.1482604201
627	0.1480511369
628	0.147739372
629	0.1474722624
630	0.1472863785
631	0.1471477152
632	0.1469276374
633	0.1467087049
634	0.1465351801
635	0.1463374763
636	0.1461442074
637	0.146022836
638	0.1458295227
639	0.1456576017
640	0.1455862749
641	0.1454375067
642	0.1452631719
643	0.145142352
644	0.1449960734
645	0.1448437673
646	0.144573248
647	0.144460519
648	0.1442859954
649	0.1441176447
650	0.1438711842
651	0.1437296222
652	0.1435964058
653	0.1434279157
654	0.1432548818
655	0.143089351
656	0.1428674047
657	0.1425719722
658	0.1424147273
659	0.1421929527
660	0.1421181384
661	0.1419297487
662	0.1417024262
663	0.1416332012
664	0.1413882748
665	0.1412130441
666	0.1409789366
667	0.1407714826
668	0.1405603895
669	0.1402638016
670	0.1401414707
671	0.1400968881
672	0.1399863165
673	0.1397612261
674	0.1395454589
675	0.1394665056
676	0.1392476054
677	0.139123191
678	0.1389229259
679	0.1387007301
680	0.1386101763
681	0.1385036072
682	0.1382948451
683	0.1381046688
684	0.1379797352
685	0.1378410628
686	0.1377582737
687	0.1376304394
688	0.1374666599
689	0.1372652082
690	0.1370486562
691	0.1369430566
692	0.1368444674
693	0.1366921915
694	0.136606021
695	0.1364416901
696	0.1362687773
697	0.136117465
698	0.1359946706
699	0.135830074
700	0.1356222594
701	0.1354826618
702	0.1353121347
703	0.1352582987
704	0.1350465461
705	0.1348780045
706	0.1347618204
707	0.1346997904
708	0.1345892894
709	0.1344123984
710	0.1342416238
711	0.1341705211
712	0.1339987769
713	0.1338608216
714	0.1337111627
715	0.1335447926
716	0.1333070098
717	0.1331450493
718	0.1330852766
719	0.1328837996
720	0.1326154154
721	0.1324889426
722	0.132426653
723	0.132233571
724	0.1321533381
725	0.1320297882
726	0.1319198204
727	0.1317693878
728	0.1316796511
729	0.1314894404
730	0.1312614322
731	0.1311604361
732	0.1310280761
733	0.1309221736
734	0.1308248943
735	0.1307037269
736	0.1304850206
737	0.1302828618
738	0.1300943075
739	0.1299536919
740	0.1297214055
741	0.1296040134
742	0.1295066179
743	0.1293007192
744	0.1291789226
745	0.1290342398
746	0.1289117675
747	0.1288177191
748	0.1286643
749	0.1284862131
750	0.1282879903
751	0.1281668007
752	0.1280651603
753	0.1279800835
754	0.1278179341
755	0.1276802748
756	0.1274838436
757	0.127349397
758	0.127194473
759	0.1270568258
760	0.1269249344
761	0.1268065445
762	0.1265908287
763	0.1264757526
764	0.1262837582
765	0.1261078166
766	0.1259700754
767	0.1257792244
768	0.12554411
769	0.1254140355
770	0.1253045203
771	0.1251254447
772	0.1248216919
773	0.1247234592
774	0.1246018504
775	0.1245187876
776	0.1243067189
777	0.1241647591
778	0.1240002887
779	0.1238018639
780	0.1236459077
781	0.1234903798
782	0.123399124
783	0.1233116162
784	0.123111941
785	0.1229833088
786	0.1228566845
787	0.1225967781
788	0.1224000379
789	0.1223217543
790	0.1221944109
791	0.1221239728
792	0.1220072422
793	0.1219063007
794	0.1216560255
795	0.1214982432
796	0.1213424174
797	0.121259706
798	0.1211689865
799	0.120927594
800	0.1207667142
801	0.1205606731
802	0.1204542868
803	0.1202592534
804	0.1200523205
805	0.1198634329
806	0.1196957589
807	0.119532845
808	0.1192671786
809	0.1191669885
810	0.1190824905
811	0.1189395752
812	0.1188703037
813	0.1187556304
814	0.1186554616
815	0.1185198686
816	0.1183899063
817	0.118236875
818	0.1181194688
819	0.1179868503
820	0.1178768654
821	0.1177156583
822	0.1176338226
823	0.1173909303
824	0.1171590034
825	0.1170829741
826	0.1169556771
827	0.1168558456
828	0.1167676793
829	0.1166208493
830	0.1165266696
831	0.1163411614
832	0.1161927336
833	0.1160554055
834	0.1159461438
835	0.1158894637
836	0.1157790879
837	0.1156995297
838	0.1155832001
839	0.1153837875
840	0.115312905
841	0.1151709543
842	0.1150681221
843	0.1149527075
844	0.1148331379
845	0.1147057329
846	0.1145915798
847	0.1145206489
848	0.1144014843
849	0.1143067319
850	0.1142335821
851	0.1140277773
852	0.1138206716
853	0.1137010616
854	0.1135984122
855	0.1135408241
856	0.1134196992
857	0.1133341275
858	0.1131875965
859	0.1130612883
860	0.1129307635
861	0.1128552977
862	0.1127342929
863	0.1126714761
864	0.1125011045
865	0.1123127845
866	0.1121719377
867	0.112070372
868	0.1119594256
869	0.111861107
870	0.1117232002
871	0.1115459405
872	0.1114144945
873	0.1112739698
874	0.1111528277
875	0.1109553593
876	0.1108525059
877	0.110722382
878	0.1106173985
879	0.1105023223
880	0.1103585506
881	0.1102166018
882	0.1101030507
883	0.1100322874
884	0.1098423373
885	0.1097224455
886	0.1095436597
887	0.109498662
888	0.1093631832
889	0.1092496705
890	0.1091133574
891	0.1090002426
892	0.1088237969
893	0.1087616619
894	0.1086606033
895	0.1084902498
896	0.1083334725
897	0.108246196
898	0.1081274879
899	0.1080302793
900	0.1079126772
901	0.1078093733
902	0.1076392158
903	0.1075482842
904	0.1073690772
905	0.1072457445
906	0.1071037917
907	0.1070377611
908	0.1068787195
909	0.1067675974
910	0.106668188
911	0.1065131479
912	0.1064235848
913	0.1063605357
914	0.1062679215
915	0.1061708361
916	0.1060339413
917	0.1059583715
918	0.1058776134
919	0.1058050221
920	0.1057114888
921	0.1055491111
922	0.1053604942
923	0.1052147934
924	0.1051073547
925	0.1050259239
926	0.1049821867
927	0.1048321399
928	0.1047352596
929	0.1045429673
930	0.1044496744
931	0.1043508185
932	0.1042657963
933	0.1041550276
934	0.1040112927
935	0.1039252126
936	0.1037976793
937	0.1036326191
938	0.1035517066
939	0.1034314759
940	0.1032240218
941	0.1030672779
942	0.1029220245
943	0.102803126
944	0.1026725809
945	0.1025826305
